run,seed,n_topics,n_outliers,exact_match_pct,cosine_similarity,bert_score_f1,jaccard_similarity,levenshtein_similarity,harmonic_mean_purity_p1,adjusted_rand_index,normalized_mutual_info,topic_coherence_cv,topic_alignment_pn
run_1,42,14,2093,0.0,0.22243734439324012,0.7204481962906155,0.024986757472569048,0.16140806011558173,0.6208625624323115,0.45596005887585067,0.5977432983277804,0.6586151399650962,0.6093029303800459
run_2,123,14,2122,0.0,0.22048713644632434,0.7173422807552036,0.023548997351494513,0.16073226952435546,0.613302831968618,0.4420043427356785,0.5881186315863436,0.668779978829381,0.6007107317774808
run_3,456,14,2503,0.0,0.22083262720947286,0.6964785826418195,0.024948921679909194,0.1471016058354315,0.6253760114943472,0.4413976324844797,0.5874141548281462,0.6334620178914039,0.6063950831612467
mean,,,,0.0,0.2212523693496791,0.7114230198958795,0.024494892167990917,0.1564139784917896,0.6198471352984256,0.4464540113653363,0.5910920282474234,0.6536190455619604,0.6054695817729244
std,,,,0.0,0.0010406562147280208,0.013035099978852532,0.0008193873563264363,0.008071826720077772,0.006100306153243081,0.008238065840131698,0.0057709286199968965,0.018181317627386184,0.0043702269759498995
