run,seed,n_topics,n_outliers,exact_match_pct,cosine_similarity,bert_score_f1,jaccard_similarity,levenshtein_similarity,harmonic_mean_purity_p1,adjusted_rand_index,normalized_mutual_info,topic_coherence_cv,topic_alignment_pn
run_1,42,20,6177,0.0,0.199982900693627,0.6533291682300664,0.05583213371721049,0.16364858836961502,0.4526953577305791,0.18100617600426547,0.3881224946091956,0.4753552100829236,0.42040892616988734
run_2,123,20,5823,0.0,0.1995703343935099,0.660025120343982,0.053282949456174025,0.15096462283623058,0.4550324408767277,0.19761655111745396,0.3999285544243633,0.48312328897960005,0.4274804976505455
run_3,456,20,6371,0.0,0.18693616960622197,0.6378085550685876,0.045147552783109404,0.15566961835544807,0.4304692813422341,0.15980261010580268,0.37761073319579935,0.4865891480393798,0.40404000726901673
mean,,,,0.0,0.19549646823111963,0.6503876145475452,0.05142087865216464,0.1567609431870979,0.44606569331651363,0.17947511240917402,0.38855392740978606,0.4816892157006345,0.41730981036314985
std,,,,0.0,0.007416305491858234,0.011396644098563837,0.005580371689564883,0.00641201901347405,0.013557342632742973,0.0189534073587659,0.01116516398417883,0.005752631148392815,0.012023624096723645
