dataset,metrica,n_pareado,cps,random_media,delta,ic_inf,ic_sup,p_valor,p_bh,significativo,cps_ic_inf,cps_ic_sup,random_ic_inf,random_ic_sup,bertopic,bertopic_ic_inf,bertopic_ic_sup,bertopic_n_runs,random_t_ic_inf,random_t_ic_sup,random_n_runs,ic_tipo_bootstrap,ic_tipo_t
wiki,exact_match_pct,10568,12.358062074186222,1.6401715871814284,10.717890487004793,10.071284380519849,11.35503406510223,0.0001999800019998,0.0001999800019998,True,11.723836109008328,12.973126419379257,1.50138783749685,1.7821095129952065,0.0,0.0,0.0,3,-4.668538579169973,7.94888175353283,3,bootstrap sobre documentos,t-Student sobre execucoes
wiki,cosine_similarity,10568,0.4063707491436709,0.2918484942996172,0.1145222548440537,0.1109243926644095,0.1181358916775252,0.0001999800019998,0.0001999800019998,True,0.402898400416563,0.40999763575226483,0.28992086452284777,0.293748559735649,0.22125236934967907,0.21866723600170582,0.22383750269765232,3,0.07247205533069087,0.5112249332685437,3,bootstrap sobre documentos,t-Student sobre execucoes
wiki,bert_score_f1,10568,0.8696601141320476,0.7092687763876149,0.1603913377444328,0.156097527234493,0.1647258227201325,0.0001999800019998,0.0001999800019998,True,0.8688486350274461,0.8704302344105164,0.7049514376599595,0.713533955605091,0.7114230198958795,0.679042036461976,0.743804003329783,3,0.47416610533253695,0.9443714474426925,3,bootstrap sobre documentos,t-Student sobre execucoes
wiki,jaccard_similarity,10568,0.1249329784444044,0.0637177592854884,0.061215219158916,0.0568433409066884,0.0657273905015462,0.0001999800019998,0.0001999800019998,True,0.12076952325690027,0.12923434601746284,0.0624207891272028,0.06504470340643949,0.024494892167990865,0.022459421135609038,0.026530363200372692,3,-0.08909559548482962,0.21653111405580652,3,bootstrap sobre documentos,t-Student sobre execucoes
wiki,levenshtein_similarity,10568,0.2641631907032166,0.1665898167473858,0.0975733739558308,0.0939490962446701,0.1012638891075377,0.0001999800019998,0.0001999800019998,True,0.26068815668471074,0.2676498868845095,0.165178744455474,0.16800402832218836,0.15641397849178953,0.13636244933373043,0.17646550764984864,3,0.05535289212323985,0.2778267413715318,3,bootstrap sobre documentos,t-Student sobre execucoes
bills,exact_match_pct,22170,9.508344609833108,7.720643512253797,1.78770109757931,1.4809803037137153,2.0929183581415924,0.0001999800019998,0.0001999800019998,True,9.115922417681551,9.891745602165088,7.502631183280722,7.935648774620365,0.0,0.0,0.0,3,-12.36471959605409,27.806006620561686,3,bootstrap sobre documentos,t-Student sobre execucoes
bills,cosine_similarity,22170,0.3746593174526007,0.3992572026149733,-0.0245978851623725,-0.0270336522358719,-0.0221829369824596,0.0001999800019998,0.0001999800019998,True,0.371744679145661,0.3775844703234912,0.3972904614363723,0.4012603610427191,0.19549646823111963,0.1770733440769334,0.21391959238530586,3,0.35187730756721297,0.4466370976627336,3,bootstrap sobre documentos,t-Student sobre execucoes
bills,bert_score_f1,22170,0.864642939663574,0.8768555899989849,-0.012212650335411,-0.0137227278433235,-0.010748034496595,0.0001999800019998,0.0001999800019998,True,0.8627822659036832,0.8664889440278889,0.8758274604064448,0.8778441932930112,0.6503876145475452,0.622076781154906,0.6786984479401845,3,0.8439676424463918,0.9097435375515779,3,bootstrap sobre documentos,t-Student sobre execucoes
bills,jaccard_similarity,22170,0.1018299049407318,0.1105721945433289,-0.0087422896025971,-0.0111801761456943,-0.0062785148978936,0.0001999800019998,0.0001999800019998,True,0.0987496055552975,0.1048889943703948,0.10838083808175716,0.11279293869143334,0.051420878652164596,0.03755846689253266,0.06528329041179654,3,-0.010398675771436494,0.23154306485809448,3,bootstrap sobre documentos,t-Student sobre execucoes
bills,levenshtein_similarity,22170,0.250104373356993,0.2341747638386601,0.0159296095183329,0.0134619879737499,0.0183603395020053,0.0001999800019998,0.0001999800019998,True,0.24737503155583648,0.25278346967544724,0.23249263778953702,0.23589827682660658,0.15676094318709785,0.14083260494726674,0.17268928142692896,3,0.11844849540090731,0.34990103227641295,3,bootstrap sobre documentos,t-Student sobre execucoes
