dataset,metrica,n_pareado,cps,cps_ic_inf,cps_ic_sup,random_media,random_ic_inf,random_ic_sup,delta,ic_inf,ic_sup,p_valor,p_bh,significativo
wiki,harmonic_mean_purity_p1,10568,0.42720364266730826,0.41881935530071157,0.4357585063556815,0.3582450668737165,0.35422569078131777,0.3630502611713369,0.06895857579359177,0.06076918799193624,0.0766471567407614,0.00019998000199980003,0.00022854857371405719,True
wiki,adjusted_rand_index,10568,0.2336324634547706,0.22506760259898567,0.24358470362141635,0.14688637403254545,0.14309607174892286,0.1516731132831148,0.08674608942222514,0.0782634868560227,0.09554288346955468,0.00019998000199980003,0.00022854857371405719,True
wiki,normalized_mutual_info,10568,0.3604230537178605,0.35572520586467393,0.37146167960804766,0.27598005089541827,0.2734100500946164,0.28317722319048705,0.08444300282244221,0.07760869922177939,0.09327717919895154,0.00019998000199980003,0.00022854857371405719,True
wiki,topic_alignment_pn,10568,0.3938133481925844,0.3880084159076777,0.40298414893266826,0.31711255888456735,0.31410193144381165,0.32279234130633305,0.07670078930801705,0.06990780947663137,0.08422598226492972,0.00019998000199980003,0.00022854857371405719,True
bills,harmonic_mean_purity_p1,22170,0.3771175874301575,0.37037179597240383,0.3835572526445134,0.40163183683814796,0.39746818340272894,0.4063290309243465,-0.024514249407990463,-0.03129369605742811,-0.01860169348026349,0.00019998000199980003,0.00022854857371405719,True
bills,adjusted_rand_index,22170,0.18612019587681045,0.18134133001510372,0.1920580571715495,0.2054255470477275,0.20105046584504915,0.2108556823903744,-0.019305351170917057,-0.024507815899669886,-0.014134344439091206,0.00019998000199980003,0.00022854857371405719,True
bills,normalized_mutual_info,22170,0.36354411269014203,0.36173865345350353,0.3728809976666966,0.36533005652589184,0.3643738640184855,0.3733341717926177,-0.0017859438357498147,-0.006170133636952743,0.0031171527061075624,0.5255474452554745,0.5255474452554745,False
bills,topic_alignment_pn,22170,0.37033085006014976,0.3666687724802636,0.3776524021439757,0.38348094668201993,0.38117414502034586,0.38962432877574704,-0.013150096621870166,-0.018141029526525056,-0.008325159327047865,0.00019998000199980003,0.00022854857371405719,True
