dataset,metrica,n_topicos_cps,n_topicos_random_medio,cps,cps_ic_inf,cps_ic_sup,random_media,random_ic_inf,random_ic_sup,delta,ic_inf,ic_sup,p_valor,reamostragem,significativo
wiki,topic_coherence_cv,21,11.333333333333334,0.5478191502134783,0.49014542109409853,0.6098811774063478,0.5195086194337183,0.4781706142538768,0.5649274576180044,0.02831053077975998,-0.04611367080782222,0.10336641080392928,0.46215378462153783,topicos (nao pareado),False
bills,topic_coherence_cv,46,52.666666666666664,0.4940146082053354,0.46558961615891775,0.5221254542932328,0.4772831849246833,0.45966333814488997,0.49482545808577644,0.01673142328065208,-0.017033206513725255,0.05002780659842206,0.32116788321167883,topicos (nao pareado),False
